(196, 222)
(189, 209)
(164, 196)
(179, 204)
(195, 221)
(209, 223)
(197, 198)
(155, 174)
(180, 186)
(206, 219)
(275, 227)
(254, 191)
(212, 163)
(262, 200)
(272, 223)
(278, 213)
(259, 166)
(281, 210)
(286, 223)
(323, 222)
(328, 215)
(313, 162)
(305, 206)
(307, 181)
(270, 95)
(290, 116)
(263, 49)
(316, 95)
(300, 61)
(283, 38)
(312, 60)
(326, 75)
(313, 41)
(290, 10)
(318, 24)
(332, 31)
(308, 3)
(359, 38)
(377, 66)
(356, 1)
(407, 90)
(403, 69)
(417, 2)
(437, 58)
(430, 125)
(416, 149)
(398, 167)
(377, 202)
(372, 200)
(361, 219)
(375, 192)
(384, 153)
(371, 195)
(360, 219)
(341, 224)
(357, 157)
(349, 195)
(339, 220)
(352, 184)
(358, 150)
(350, 99)
(360, 128)
(359, 147)
(372, 151)
(370, 96)
(351, 48)
(369, 95)
(372, 148)
(381, 152)
(374, 126)
(378, 147)
(387, 138)
(379, 149)
