(385, 385)
(379, 454)
(307, 439)
(298, 446)
(245, 437)
(198, 434)
(128, 428)
(116, 428)
(99, 424)
(89, 420)
(89, 426)
(91, 421)
(101, 424)
(148, 414)
(198, 405)
(198, 397)
(188, 391)
(180, 359)
(172, 362)
(139, 323)
(136, 278)
(143, 275)
(169, 299)
(254, 332)
(248, 314)
(247, 301)
(237, 302)
(243, 297)
(254, 288)
(260, 287)
(258, 293)
(246, 302)
(257, 292)
(258, 288)
(258, 273)
(244, 260)
(214, 260)
(214, 262)
(237, 264)
(240, 269)
(253, 276)
(260, 272)
(246, 261)
(246, 258)
(225, 247)
(242, 247)
(257, 252)
(266, 259)
(261, 259)
(246, 259)
